nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
1377,aris sofianto,2023-09-13T00:15:35Z,"koruptor coy,,,hukum mati aku sebagai rakyat baru puas,,, ada apa kok tidak ada yg berani  kasi hukuman mati pada koruptor",koruptor coy hukum mati rakyat puas berani kasi hukum mati koruptor
1380,Yasin Yusup,2023-09-14T13:51:56Z,Tp yg saya heran knp klo pengungkapan barang bukti bejibun dr ujung knn ampe kiri..tp giliran pemusnahan brng bukti cm sebungkus kecil...trs kemana...??,tapi heran knp ungkap barang bukti bejibun dr ujung knn ampe kiri tapi gilir musnah brng bukti cm bungkus trs mana
1381,Irwan Wan,2023-09-17T06:56:46Z,"Menguntungkan bagi Polisi. <br>1.Barang bukti bsa dipakai or jual lagi ama Polisi<br>2.yg ketangkap jga ada setoran buat polisi (ntah itu setoran utk bebas,dll) <br><br>Ada yg mau ditambahkan lgi ......... silahkan netizen.",untung polisi barang bukti bisa pakai or jual ama polisi tangkap juga setor polisi ntah setor untuk bebas lagi silah netizen
1403,ZFN,2023-09-13T08:43:17Z,Jual aja barang bukti narkobanya ke negara lain yg legalin narkoba...duit nya buat bayar hutang negara,jual aja barang bukti narkoba negara legalin narkoba duit bayar hutang negara
1405,Naimah Naimi,2023-09-16T12:21:36Z,Harus adil...hukuman yg di jatuhkan pd fredy budiman maka wajib kpd yg lainnya juga..dulu fredy budiman tdk di kasih kesempatan untuk mengungkap siapa sj yg krj sama di blakangnya dg fredy..,adil hukum jatuh pd fredy budiman wajib kpd fredy budiman tidak kasih sempat ungkap saja krj blakang dg fredy
1410,salmah sitisiah,2023-09-15T08:28:51Z,Tugas hrustgs jgn tbang blih demsa dpn negara dan jiwa generasi pnerus,tugas hrustgs jangan tbang blih demsa dpn negara jiwa generasi pnerus
1423,Maduwin Maduwin,2023-09-16T04:34:56Z,Lucu iya pelabuan bandara jln tikur antara negara di jaga.<br>Kok bisa  narkoba ini msk iya.<br>Klau pun ada pabrik nya di dlm  dlm negara pasti tdk lama ketahuan .,lucu iya labu bandara jln tikur negara jaga narkoba msk iya pabrik dalam dalam negara tidak tahu
1426,Nada Fitria,2023-09-17T12:12:55Z,"Moga endingnya gg kayak kasus2 yg sebelumnya ya pak pol😊<br>Makasih ya pak pol buat kerja kerasnya tapi nangkap si mastermind jauhh lebih butuh effort pak, mangatse",moga ending gg kayak kasus pol makasih pol keras nangkap si mastermind jauhh butuh effort mangatse
1427,Salman Jawi,2023-09-13T04:39:17Z,"Sindikat 10,5 Triliun😱? Mana suaranya yg teriak²: habaib, arab yaman, antek² penjajah, budak yaman? 🤬🤬🤬",sindikat triliun suara teriak habaib arab yaman antek jajah budak yaman
1433,Mas prabu Tanjung,2023-09-16T08:30:03Z,Selagi tindakan tegas di berlakukan dan pengawasan ketat  kepada angota oknum tni polri yg terlibat bisa menekan peredaran narkoba,selagi tindak laku awas ketat angota oknum tni polri libat tekan edar narkoba
1434,moh wakit,2023-09-18T11:59:56Z,Brani ndak ditindak tegas pelakunya...itu yg ditunggu masyarakat jwbnya..contoh hukum seberat beratnya...,brani ndak tindak laku tunggu masyarakat jwb contoh hukum berat berat
1438,Yudhi Sasang,2023-09-18T05:24:02Z,Brobrokx aparat negara yg melindungi jaringan sindikat narkoba perlu diberi ganjaran hukuman yg seberat-betatx.,brobrokx aparat negara lindung jaring sindikat narkoba ganjar hukum berat betatx
1439,Hello Day,2023-09-13T04:05:02Z,"Kalo narkoba yg ilegal, sulit dan beresiko besar mereka mereka bisa dapat 10T, kenapa nggak coba jualan cilok, bebek goreng atau seblak coba? Mereka kan pada pinter bisnis?",narkoba ilegal sulit resiko nggak coba jual cilok bebek goreng seblak coba pinter bisnis
1440,Yanto Yanto,2023-09-20T03:09:22Z,"Semua yang trlibat harus di tindak tegas tidak ada tawar menawar harus, kalo perlu itu namanya penyakit jangan cuma di hukum seumur hidup namanya penyakit virus biar tdk menyebar menular tembak mati aja dor, biar tdk brtunas lagi!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",libat tindak tawar tawar nama sakit hukum umur hidup nama sakit virus biar tidak sebar tular tembak mati aja dor biar tidak brtunas
1441,Igede Ariana Jembrana,2023-09-16T14:58:29Z,Mohon ijin  jika saja Lampung timur  khususnya waway. Karya bisa di berantas narkobanya dan pengedar uang palsu di tangkap tentu bisa lebih Aman trimakadih,ijin lampung timur waway karya berantas narkoba peedar uang palsu tangkap aman trimakadih
1451,Syam nawali,2023-09-13T01:01:13Z,"Terima kasih untuk polri karna sudah menindak cepat kejadian tersebut ,,,<br>Seharusnya pecat langsung saja untuk pelajaran bagi supir&quot; bus pe.a lainya yg suka melawan arah",terima kasih polri karena tindak cepat jadi pecat ajar supir quot bus pe lai suka lawan arah
1455,best moment,2023-09-13T13:25:43Z,Kita butuh Bung Rocky gerung untuk mengkritik kasus2 seperti ini supaya viral dan ditangkap oknum keparat yg ikut cawe2 bisnis haram ini,butuh rocky gerung kritik kasus viral tangkap oknum keparat cawe bisnis haram
1457,Ziad Patata,2023-09-13T01:46:24Z,"Sudah rahasia umum kalau ada oknum-oknum aparat yg  terlibat, gak mungkin bisnis kotor kecil jadi besar secara aman kalau ga ada oknum anu yg terlibat",rahasia umum oknum oknum aparat libat gak bisnis kotor aman tidak oknum anu libat
1461,Spoiler Time,2023-09-13T00:09:12Z,"pertanyaan terbesar dalam benakku&quot; aset aset yang disita baik berupa bangunan, tanah, uang dan bentuk fisik berupa kendaraan dari kasus kasus di Indonesia baik kasus kriminal, suap, korupsi dan lain lain dialihkan kemana atau kemana perginya?",besar benak quot aset aset sita bangun tanah uang bentuk fisik kendara indonesia kriminal suap korupsi alih mana mana pergi
1462,su yadi,2023-09-13T00:25:25Z,Bapak Kapolri .bapak panglima ..bapak kasad ..3 Matra..dan bapak kabariskrim.dan ulama..sudah waktunya turun tangan untuk menyelamatkan generasi muda Indonesia ..ini sudah urgen kenyataan ini bisa di buktikan dengan jualan di lapas..seorang di hukum masih bisa jualan narkoba di dalam lapas..sungguh naif .pejabat lapas ..terserah pemerintah para bandar dan pemakai ..apakah di rehabilitasi dan pongobatan gratis..agar mereka selamat dari narkoba..kasian mereka..semoga usul ini di tindak lanjuti para pemimpin..kita aamiin...,kapolri panglima kasad matra kabariskrim ulama turun tangan selamat generasi muda indonesia urgen nyata bukti jual lapas hukum jual narkoba lapas sungguh naif jabat lapas serah perintah bandar pakai rehabilitasi pongobatan gratis selamat narkoba kasi moga usul tindak lanjut pimpin aamiin
