nomor,nama_akun,tanggal_komentar,komentar
1193,Garangan Garangan,2023-09-13T11:24:04Z,Njalok 500ewu ae pak gae nempur.. Beras..
1194,Virusku My,2023-09-16T02:06:44Z,Cuan gede lg di mabes polri
1195,Veronika Lumbangaol,2023-09-13T01:19:24Z,Tolong pak polisi judi onlene juga hrs di musnakan juga
1196,CaangNgungkulanPoek,2023-09-12T23:48:22Z,Hukum mati !
1197,Betta Indo,2023-09-13T00:01:12Z,Alhamdulillah Bravo Bravo BNN Polisi Indonesia 🇮🇩💚🇮🇩
1198,fahrur rozi,2023-09-15T15:03:25Z,Mantap POLRI
1199,Halimah Mualim,2023-09-19T08:05:59Z,yg seperti itu makmur rezim<br>majunya ini  bukan  pertanian
1200,Masei Saii,2023-09-16T23:20:45Z,"Indonesia darurat narkoba,darurat koropsi,selot"
1201,Madun Galaxi,2023-09-13T01:45:34Z,"Alhamdulillah yaa allah, ini polisi boleh di naikan jabatan,narkoba ini sangat sangat bahaya,"
1202,Buaya 01,2023-09-13T03:17:48Z,"tidak hanya narkoba, korupsi juga harus di miskinkan"
1203,M Alif Candra Mata,2023-09-13T00:02:37Z,"<b>KUHP (Tegas dan Mengikat)</b><br><br>Sejak reformasi tahun 1998, negara dan bangsa ini kacau balau, rakyat sudah terbiasa dengan narkoba, pornografi, free sex, perzinaan, pencurian, penipuan, perjudian, perampokan, pembegalan, pembunuhan, pemerkosaan, korupsi, suap menyuap dan perbuatan kriminal lainnya.<br><br>Negeri ini sudah terlalu banyak masalah dan Bangsa ini sudah rusak.<br><br>Untuk menyelamatkan Negara, bangsa dan generasi penerus, maka Negara harus menata dan me-revisi Kitab Undang-Undang Hukum Pidana (KUHP) yang terkait dengan kriminal berat <br><br>Pemerintah bersama DPR harus me-revisi Kitab Undang-Undang Hukum Pidana (KUHP) yang terkait dengan kriminal berat (hanya 5 item masalah), yaitu laksanakan :<br><br>1. Hukuman mati bagi para pemakai dan pengedar narkoba<br>2. Hukuman potong tangan bagi yang mencuri<br>3. Hukuman potong tangan dan sita kekayaannya bagi yang korupsi <br>4. Hukuman mati bagi para pembunuh<br>5. Hukuman mati bagi para pemerkosa<br><br>KUHP ini harus tegas dan Fixed. Tidak ada lagi istilah hukuman minimal dan maksimal.<br><br>Jika KUHP ini sudah fixed, maka para Hakim dengan mudah memutuskan suatu perkara. <br><br>Jika terbukti seorang terdakwa pengedar narkoba, maka Hakim langsung menjatuhkan hukuman mati.<br><br>Jika seseorang mencuri atau korupsi senilai 10 gr emas maka hukumannya potong tangan, dan jika kurang dari 10 gr emas maka dicatat sebagai peringatan dan sampai 3x masih mencuri/korupsi maka dilakukan potong tangan.<br><br>Begitulah kira2 esensi isi KUHP tsb dan inilah solusi terbaik, simple, mudah, efisien dan efektif.<br><br>Penjara dan Lapas dibubarkan saja karena tidak ada manfaatnya dan mubazir. <br><br>Jika negara dan pemerintah melakukan langkah-langkah seperti diatas tsb, maka Negeri dan bangsa ini akan selamat, damai, adil dan sejahtera.<br>‐-------------‐----------------------------<br><br>Perhatikan KUHP terkait pencurian yaitu KUHP pasal 362 sd. 365. <br><br>Semua isi pasal dalam KUHP tsb hanya menjelaskan Hukuman Maksimal, tidak ada hukuman minimalnya.<br><br>KUHP terkait pencurian dg kekerasan, yaitu KUHP pasal 365 yg isinya sbb : <br><br>(Ayat 1). Dengan hukuman penjara selama-lamanya sembilan tahun, dihukum pencurian yang didahului, disertai atau di ikuti dengan kekerasan terhadap orang,...<br><br>(Ayat 2). Hukuman penjara selama-lamanya dua belas tahun, dijatuhkan<br>1e. jika perbuatan itu dilakukan pada waktu malam...<br><br>(Ayat 3). Hukuman penjara selama-lamanya lima belas tahun dijatuhkan jika karena perbuatan itu ada orang mati...<br><br>(Ayat 4). Hukuman mati atau hukuman penjara seumur hidup atau penjara sementara selama-lamanya dua puluh tahun...<br><br>Apa arti pasal 365 tsb ? <br><br>Semua ayat pada pasal tsb, hukumannya tertulis dengan kata2 &quot;selama-lamanya&quot;.<br><br>Itu artinya jika seseorang terbukti mencuri, hukumannya bisa saja hanya dipenjara 5 tahun, 3 bulan atau 1 bulan, dst, dan keputusan tsb mutlak tergantung kepada hakim. Apakah hukuman tsb adil ???<br><br>Dalam hukum islam, jika seseorang terbukti mencuri maka hukumannya potong tangan. Seorang hakim di pengadilan hanya membuktikan saja, apakah benar si terdakwa terbukti mencuri ?. Jika terbukti mencuri, maka terdakwa pasti dihukum potong tangan. Pengadilannya simple, tidak bertele-tele, prosesnya cepat dan tidak perlu ada penjara.<br><br>Sesungguhnya negeri ini tidak mempunyai KUHP, atau negara ini bisa dikatakan negara liar.<br><br>KUHP yg ada saat ini adalah KUHP peninggalan Belanda, dimana tidak ada kepastian hukum, tidak adil, tidak mengikat, ruwet dan bertele-tele. Dari hal tsb dapat disimpulkan bahwa KUHP yang ada saat ini adalah tidak benar.<br><br>Terkait hal ini maka KUHP yg terkait kriminal berat perlu di Revisi Total.<br>--------------------------------------<br><br>Sering kita mendengar istilah &quot;efek jera&quot; dengan menghukum para pembuat kriminal.<br><br>Janganlah pernah berharap supaya seseorang menjadi jera setelah dia mendapat hukuman. <br><br>Hukuman diberikan kepada seseorang yang bersalah hanya bertujuan untuk menegakkan keadilan dan membuat ketenteraman masyarakat, serta demi untuk menjalankan perintah Ilahi.<br><br>Misalnya seorang pengedar narkoba dijatuhi hukuman mati oleh seorang hakim. Hakim hanya menjalankan tugasnya saja dan Hakim tidak boleh merasa kasihan kepada si terdakwa. Cukup sajalah Tuhan yang memaafkan si terdakwa.<br><br>Kemudian setelah hukuman dijatuhkan dan si terdakwa di eksekusi mati, maka kita semua termasuk pemerintah jangan berharap banyak bahwa akan ada efek jera terhadap yg lain.<br><br>Hukuman diberikan bukan mengharapkan efek jera. Kita tidak peduli &quot;mau jera atau tidak&quot;."
1204,Teh YanTi Cianjur2,2023-09-15T21:27:53Z,"Langsung aj pk polisi itu mereka di basmi dor,,dor.skrg emak&quot;aj Pd nekad jdi gembong demi gaya hidup"
1205,Rojalih Anim,2023-09-17T13:05:00Z,"DIMANA SIH TITIK KELEMAHAN LEMBAGA YUDIKATIF KITA BESERTA INTELJEN NYA.......   KO MASALAH NARKOBA DAN KORUPSI DI NEGRI INI GAK SELESAI SEKESAI......<br>APAKAH BUKAN MUSTAHIL INI ADA PEMBIARAN , AGAR PETUGAS ADA KERJANYA DAN ADA PEMASUKAN UANG YG ENTAH KEMANA MASUK NYA.....!!!!"
1206,Jesus is King of King,2023-09-13T03:02:28Z,"Klo mau negaranya maju, ekonomi baik, generasi yg sehat, negara hrs narkoba free, polisi hrs tegas dimana supaya masyarakat bs bantu lapor sewaktu mrk jual masa tdk bs ketahuan begitu byk brg dijualnya, polisi &amp; detective hrs turun tangan, nanti jgn smp kaye Philippine president hrs tembak2in setelah sdh kecanduan....polisi tanggung jawab yg paling besar, jgn ngantuk.diMerika org yg miskin homeless justru mrk sdh jd zombie malang, manusia takut, òpemerintah sdh tdk sanggup, cm hanya menunggu mrk mati dlm kemiskinan."
1207,yandiyan,2023-09-14T11:00:24Z,Sejarah terbesar buat polri menangkap dan menyita semua aset tersangka narkoba internasional. Selanjutnya bandar besar judi online d indonesia
1208,Subagyo Subagyo,2023-09-15T06:23:58Z,Semua hrs dihukum mati tdk usah di tawar lagi ini sdh merusak generasi muda ❤😊
1209,Midomido,2023-09-16T22:49:42Z,"ga lama yg kaya gini nanti juga kekubur berita kaya gini di ganti ama berita porno kocak 😂 , atau ini cuma pengalihan dari berita rempang ya biar lancar bongkar rumah warga nya"
1210,rey han,2023-09-15T15:34:41Z,Uang sm barang buktinya di kemanain tuh..harus jelas...jngn sampe di jual lgi sma polisi...
1211,Real Meee,2023-09-18T08:02:09Z,"Kita kira ini sudah lama beroperasi di ndonesia, tapi sulit untuk pengungkapan nya. Kira .....kira ini mungkin org yg kemaren sudah tau waktu si dia blm di pecat. Cuma sulit di ungkap karena termasuk cerdik ."
1212,Muhammad Haikal,2023-09-13T08:24:05Z,"luar biasa pablo eskobar indonesia, teddy minahasa pakabar ? ko gadisita konoha konoha, dikirain di hukum mati eh iya lupa hukum nya yang mati😂"
1213,sumijati yati,2023-09-13T04:01:11Z,"Tapi maaf ya, saya lebih percaya polisi vrindavan.. drpda konoha..takutnya cuma citraan"
1214,baso alamsyah,2023-09-16T00:54:01Z,"Tolong di morowali,,  di basmi,,"
1215,SURUNUDIN SURUNUDIN,2023-09-17T10:41:26Z,KALAU BUKA BUKA2AN BIASANYA ADA BEKINGANNYA... BIASA SAMBO  TEDY MINARKOBA...
1216,uminarti rokani,2023-09-15T08:55:33Z,"Korupsi ,narkoba gencar skli merusak bgsa kita 😢😢😢ya Allah ....lindungi bngsa kami ,anak2 kami....aamiin 🤲🤲🤲<br>Koruptor2 n bndar2 narkoba aplgi aparat yg mbekingi hrsnya stlh bnr2 trbukti tdk usah lama2 dpnjara ...lgsung digantung sj !!!! Nyatanya tdk dmkn ...mrka lamaaa dpnjara n mlah JD bandar dstu... yg bgtu masak polisi /pnjara tdk tahu ????😮😮😮😮TP ingaaat Allah TIDAK TIDUR !!! DIA TAHU.....!!!!"
1217,Rusnadi,2023-09-12T22:47:53Z,Semuanya yg terlibat dan ditangkapa Wajib diHukum Mati.<br>Bravo POLISI Indonesia.
1218,Manusia,2023-09-12T23:04:21Z,Alah.
1219,Denny Herlina,2023-09-13T02:13:20Z,Semoga Indonesia lepas dari narkoba .
1220,terminal krembung,2023-09-12T22:42:53Z,Ini baru keren...semoga penegakan hukum di negara ini semakin bagus...yg pntng gk di ganti tawas sprti yg kmrn&quot; 😢
1221,Muh. Asbul Sewang,2023-09-13T05:00:58Z,"Menghukum mati pengedar narkoba jaringan internasional tidak bisa menggunakan kata kemanusiaan, pertanyaannya.apakah mereka pengedar narkoba punya rasa kemanusiaan,mereka meracuni otak generasi muda dengan narkoba tanpa rasa kemanusiaan.mereka tidak peduli terhadap masa depan generasi muda yang mereka sudah racuni otaknya dengan narkoba yang mereka jual.mereka harus di hukum MATI!"
1222,Po Cin Hon,2023-09-13T04:20:50Z,Tdk ush di pk masker biar masyarakat kenal perusak bangsa Indonesia sendiri
1223,Ico,2023-09-13T00:49:36Z,Jangan lupa para pelindung nya di usut dong… sampai sejauh ini pasti ada yg melindungi.
1224,Farrah Sky,2023-09-12T22:46:34Z,Hukum mati semua
1225,Gatot Suyudono,2023-09-17T13:08:56Z,Salut buat POLRI tangkap gebuk gruduk langsung tembak klau UNDANG2 memperbolehkan heee mana tu dosen UI Markonah kok diam sih tembok door pantatnya dooor
1226,Ipul Gg,2023-09-19T16:08:38Z,"Sy rakyat nusantara ,mengajak ,kita semua perduli dgn bangsa ini,,,slk melapor kepolisi,semua gerak gerik ,hal yg mencurigakan dari semua hal,,dgn surat kaleng,atsu sms halo polisi ,no ,polisi wajib tahu semua,,,"
1227,Reza Faisal,2023-09-17T15:17:42Z,"Jaga UANG NYA , kalau nggak bisa ngejaga nya , biar aku yg Jaga . <br>Nggak usah Whatsapp, langsung aja datang kerumah gua . <br>Medan. Jalan denai Gg. Mulajadi No.18 <br><br>Tengkyu ..."
1228,cerita ku,2023-09-12T22:11:11Z,p
1229,Nurdin Baihaqy,2023-09-13T00:12:31Z,Bapak Kapolri Listyo Sigit memang luar biasa... Benar2 ini diungkap...
1230,Mr. Steven,2023-09-15T04:13:22Z,DUITNYA DIBUAT BANCAKAN TUHH AMA SERAGAM COKLAT
1231,Suwinto Saputra,2023-09-16T08:00:42Z,Narkoba dari jaman dono Kasino Indro sampai sekarang masih ada ko susah juga diberantas
1232,bayuirvan,2023-09-16T07:52:31Z,Koruptor kapan dimiskinkan nya??
1233,sutami ginting suka,2023-09-15T18:48:21Z,Hukum MATI titik
1234,Clowie_ara,2023-09-13T08:06:36Z,Hukum mati sindikat narkoba !!! Perusak generasi muda !!!! Dooor semua !!!!
1235,baso alamsyah,2023-09-16T00:54:27Z,Morowali bebas
1236,Nama Aku,2023-09-15T14:47:00Z,"awas pengalihan isu, kawal rempang"
1237,KOLEKSI FREE FIRE,2023-09-16T01:45:59Z,Semoga tidak ada bisik2an di bagian Reskrim.<br>Ayok pak Jokowi...kawal kasus besar ini
1238,Agis Sutisno,2023-09-15T22:47:08Z,Negara dan hukum di negara indonesia harus sesuai dengan undang&quot;1945 hukuman mati hatus di tegaskan.
1239,Andi sop,2023-09-17T00:19:26Z,hukum Mati
1240,Sugeng Halianto,2023-09-18T09:28:39Z,Gk ad pemasok gk bakalan anak kampung jd kurir/ pengedar klo gk ad kucuran dari atas
1241,Wisnu Hidayat,2023-09-17T00:49:20Z,Plisi medan bis tu Langkat. Bisnisman
1242,Ayung Sempurna,2023-09-13T03:56:55Z,Semoga hukum yg tegas lebih dari tegas <br>Bravo polri
1243,Muh. Ishak Muh. Ishaq,2023-09-12T23:52:59Z,"👍👍👍Mantap Kapolri. Tangkap semua Pemasok, Pengedar jual beli Narkoba,,, dan kerjasama nya."
1244,Armaidi Lintau,2023-09-18T03:27:11Z,Buron atau di buron kan
1245,MANGAN SEDERHANA,2023-09-12T22:29:53Z,Sudah banyak generasi yang rusak akibat narkoboi..cocoknya harus hukum mati.
1246,76Kretek,2023-09-13T10:56:41Z,Narkoba udah tinggal slot yang belum
1247,ANTON BUDI,2023-09-20T05:00:05Z,ADA JENDRAL YANG TERLIBAT NGGAK &quot;DAN&quot; ?....
1248,Kafi Usis,2023-09-13T00:13:47Z,Percuma klo bandar utamanya tdk ditangkap dan langsung eksekusi
1249,ahmad subandi,2023-09-19T02:40:47Z,"Teroris yg sangat rapi bisa di bongkar ,,sekrang narkoba jelas nampak nggak bisa diusut ,,intinya narkoba perdagangan antar penguasa negara ,,,ketika ditangkap jangan dia dekekengan bintang 1000 lolos negara kita ini terllau banyak penguasa naif dan munafiq para penguasa  menguasai yg punya legalitas"
1250,mulia cemerlang abadi farm,2023-09-16T12:09:20Z,Hukumann matinya gak berjlan😂😂😂😂.. coba tangkap vonis tembak langsung
1251,Oki Yasha,2023-09-16T12:43:36Z,NARKOBOY.HUKUM MATI. <br>JGN SAMPAI SDH DI LP. MASIH BISA JUALAN JG
1252,dedi miswar,2023-09-13T07:47:31Z,Bukkk... polisi ada gk tersangkanya.??????
1253,Wahid Salati,2023-09-13T08:55:14Z,Kenyataan sudah masuk dan pasti meracuni anak bangsa merasa bangga.woy polisi kemana saja selama ini tapi GK heran jendral polisi saja jualan narkoba apa lagi yg lain
1254,Rambo Jumbo,2023-09-13T00:48:30Z,Langsung hukum mati aja para bandar2 narkoba ini.. Indonesia bisa rusak gara2 narkoba
1255,endra endra,2023-09-13T12:33:20Z,Hukum matiii semua....pasti ada oknum yg backingi Bandar Narkoba tsb.
1256,Yanto,2023-09-13T05:54:29Z,Auto tembak mati lah
1257,Devita Devita,2023-09-13T00:26:03Z,Wira usaha yg berprestasi..yg patut di acungi jempol dn di budidayakan..dn segera di tempatkn di Alam kubur
1258,Jalan yang lurus,2023-09-15T23:34:39Z,"Wah polisi tajir melintir bagi-bagi tangkapan kakap,  sitaan dicak rata ya pak"
1259,SERBA SERBI RASA,2023-09-13T01:37:33Z,good job polisi sehat selalu ❤
1260,Agus Setiawan,2023-09-14T12:55:48Z,"Maaf nanya, dri semua aset yg di sita larinya kemana ya, apa untuk negara ?"
1261,Kahiyang Zyva,2023-09-13T16:02:53Z,"JANGANLAH D HUKUM BRAT,,,KORUPTOR JA D HUKUM RINGAN KOK,,,,YG TRILYUNAN,,,NI 10T,,,BNYK ORANG,,,JGN BRAT2 HUKUMNY,,,,"
1262,Tambak Tambak198,2023-09-16T10:49:55Z,Angkap dn hukuman mati bunuh langsung
1263,Pugung Malaya,2023-09-14T15:11:12Z,F Sambo<br>F Budiman<br>F tama
1264,MUHAMAD YASIN,2023-09-13T05:16:36Z,Tangkap yg terlibat  bila perlu hukum mati .kalau ada oknum aparat hukum .hukum berat.
1265,Gemi Gemi,2023-09-13T02:12:19Z,Kasus bermula di tangkap kurir warga malaysia 2 orang lalu polis malaysia bekerjasama dgn indonesia dab thailand jaribgan internasional
1266,Anekdot,2023-09-17T16:23:20Z,Yah namanya juga namanya…
1267,Radja 03,2023-09-13T07:03:37Z,BEKINGAN NYA HUKUM MATI
1268,Viathrue Afends Gaming,2023-09-15T19:18:07Z,Harta duit properti disita trs duit sitaan di kemana in ? 😅
1269,kampussulap,2023-09-16T13:28:18Z,10 T tentukan <br>Uang 10t mana uangnya Cok kocak
1270,Raja Yahya,2023-09-13T01:18:55Z,👍👍👍👍👍👍🙏🙏🙏🙏
1271,Dfo Tambunan,2023-09-15T06:49:40Z,"...dari dulu polri hanya bisa membongkar dan menangkap komplotan perdagangan narkoba, namun tidak pernah bisa mencegah masuknya narkoba ke Indonesia... mengapa...???"
1272,Djoko Sutrisno,2023-09-18T03:48:14Z,Kalau perlu penegak lain yg nakal harus dibrangus.
1273,Hari Santosa,2023-09-13T10:16:20Z,"Ayo telusuri terus Pak, siapa orang di balik sindikat Narkoba klas Kakap ini, krn melibatkan jaringan Internasional."
1274,Mujib Boy,2023-09-15T17:43:22Z,Muaraweh Armani hotel mana like nya 😁
1275,rahmat rizky,2023-09-16T03:00:14Z,BNN cair ini mah🙂🙂
1276,Kusnadi Enco,2023-09-19T11:08:23Z,"Gak usah banyak acara langsung saja Bakar itu Narkoba agar gak ditimbun di gudang,,,"
1277,Sukirman Heri siswanto,2023-09-29T06:30:50Z,Masukkan saja satu gedung bandar narkoba sama para koruptor baru di boom ini yang menghancurkan negara Dan generasi mudah Indonesia
1278,Wahyu Wahyudi,2023-09-18T03:07:18Z,hrs nya perbuatan apapun yg langgar hukum apalagi narkoba dipublikasikan di media wajahnya asalnya u.efek jera jg masyarakat semua tau siapa mrk. abaikan etika uu apapun. kl tdk mrk akan ulang&quot; lg.
1279,Deri Ariesta,2023-09-16T00:37:17Z,❤polisi 👮 Terima kasihhh
1280,Fx Wagimanto,2023-09-13T11:49:10Z,Pemerintah berani gak hukuman mati para pengedar narkotika klas kakap (internasional).
1281,Brian Michael,2023-09-19T00:43:40Z,Sambo gimana sambo?😂
1282,cuda cularry,2023-09-13T15:49:46Z,Golden Triangle itu milik &quot;ehem....&quot;
1283,Kyy,2023-09-13T01:34:36Z,"Mantaf Pak ,<br>tpi biar lebih Mantaf, Kota TanjungBalai Wajib juga sebagai target Oprasi Pemberantasan NARKOBA.<br>kerna kota tanjungbalai ini pintu peredaran narkoba dari luar negeri, Dan dsni jga bnyak bandar bandar besar narkoba."
1284,Cahya Ibrahim,2023-09-13T01:24:24Z,Berita sampah. Kita sama dunia fiksi gotham gak ada bedanya
1285,Umar Sh,2023-09-15T22:39:02Z,"Ini adalah keberhasilan Kapolri dan seluruh jajarannya, BNN  dll"
1286,Su Yoto,2023-09-18T00:29:01Z,Perusak moral bangsa harus dibersikan siapapun oknumnya
1287,Def@nya Gea,2023-09-14T16:17:40Z,Prestasi besar TAHUN ini
1288,Kar Ade,2023-09-17T04:29:12Z,"Nyimak..aja rakyat dungu..negara indonesia hebat polisi terhebat di dunia,smoga rakyat sperti  kotapheladelpia mmbangun sgala generasi"
1289,AHM auto body,2023-09-17T09:51:24Z,"Kalo bisa berantas habis pak,Jagan kayak di sul&#39;sel pengedar ditangkap minyak uang pula baru dilepas polisi kok gendeng"
1290,Bedjo Sugito,2023-09-19T15:17:56Z,Semoga penegak  hukum tdk  Ada yang terlibat.
1291,Susanto Susanto,2023-09-19T08:01:48Z,Kita lihat saja nanti vonis yg di jatuhkan hakim
1292,Harlem Manik,2023-09-20T10:04:34Z,Ini baru ...
1293,Damian Greg,2023-09-13T05:18:00Z,Tolong . Semua asset nya di sumbangkan ke masyarakat miskin.
1294,Edi Yanto,2023-09-12T22:51:04Z,"Ati ati, ati ati, ati ati.. barang bukti berupa uang dan narkoba harus extra diawasi, jangan sampe hilang"
1295,Yuda Galura,2023-09-14T03:43:36Z,Pst ada oknum d dlm
1296,Asoka Akbar,2023-09-18T01:02:20Z,Hukuman mati yang pantas utk mereka
1297,Yudhi Aryanto,2023-09-13T00:06:52Z,Hukuman mati harus di berlakukan buat bandar atau jarinagn narkoba.  Karena bisa merusak generasi indonesia
1298,LOECKMAN SAINUDDIN,2023-09-15T11:25:57Z,"Pertanyaannya,  kenapa itu bisa terjadi....? <br>Kenapa tidak dari dulu- dulu, ..? <br>Kenapa,  kenapa... Kenapa,  banyak pertanyaan yg tak bisa terjawab."
1299,Kenzie Ajikusuma,2023-09-19T14:11:20Z,Koruptor dan bandar narkoba emang harus dirampas hartanya.👍👍💪💪 polri dan BIN.
1300,Umi hery Umi hery,2023-09-19T13:58:18Z,p polisi yg jendral2 sabu nya jgn di jual lagi spertijendral tedy ok
1301,1212 Official,2023-09-15T12:52:59Z,"Kaya lah polisi,bisa bagi2 tu uang 65m"
1302,Badyo A,2023-09-13T04:29:38Z,Itu nanti uang sama barangnya akan di lenyapkankah
1303,Kadoen Doen,2023-09-18T01:58:49Z,Bisnis narkoba sebesar itu tanpa bekingan orng besar ga mungkin bisa berjalan......  ga mungkiiiiin
1304,jani irawan,2023-09-13T12:13:58Z,Asikk tambah duittt negara klo g berkurang tapi😅
1305,urmila dewi,2023-09-16T07:40:56Z,"Anggota korps baju coklat banyak yang bermain ditempat ini karena ada ikan besar yang menggiurkan demi hidup, dan lupa sudah akan sumpah jabatan yang sudah dilakukan didepan Tuhan diatas kitab suci masing2, Tuhan aja dikhianati apalagi sesama manusia,sekarang Tuhan sdh membuka kebusukan, apalagi yang didustakan."
1306,Zaenal Arifin,2023-09-15T01:19:27Z,Taiati Barbuk Berubah jadi Tawas Bro
1307,Andre Mahendra,2023-09-13T02:20:33Z,"Pantesan ya orang jaman sekarang pada kaya kaya ga tau kerja nya apa, ternyata begini bisnis narkoba sama koruptor"
1308,Jo jackid,2023-09-13T07:53:48Z,SEBENTAR LAGI BISA MUNCUL MAFIA BARANG BUKTI KALAU TIDAK DI AWASI OLEH RAKYAT . DPR TOLONG DI AWASI BARANG BUKTI TERLALU WOWW .RAWAN  KALAU TIDAK DI AWASI.
1309,JRD,2023-09-19T06:49:14Z,Luar Biasa Bravo POLRI....<br>🫡👏👏👏👍🙏<br><br>Sikat terus Sampai Akar-akarnya Pak Polisi 👍
1310,Kanjeng Babe,2023-09-17T14:38:28Z,"Biyuh trs apa hukumannya kalau sdh sebesar itu, pengedar kecil aja kena hukuman berat, ini capai 10 Trilyun. Cuman disita uang dan asetnya biar ga bisa jualan lagi hukumannya pak ?. Duhhh...."
1311,Rumambi Samuel,2023-09-17T06:00:50Z,Kita bahas tentang gembong narkoba di Asia Tenggara -Koi
1312,Green Hat,2023-09-13T07:06:58Z,Itu msh kecil jika dibandingkan dg bisnis judi online gurita genk2 Sambo😂😂😂😂😂<br>Ada yg berani gk usut gurita judi online Sambo😂😂😂
1313,mr.bagassuparman,2023-09-12T22:06:13Z,"Pasti ada oknum yg bantu , gk mungkin sendiri"
1314,kwc,2023-09-15T16:11:33Z,Kok aku pengen ketwa
1315,Moncrot 123,2023-09-21T11:46:01Z,"Sampe kiamat pun tidak akan pernah selesai, karna dri bawah sampe atas bermAin"
1316,Aji Uye,2023-09-13T07:33:06Z,"Hukum mati<br>inilah yg merusak generasi bangsa,"
1317,Imam Wahyudi,2023-09-13T01:22:43Z,Narkoba gak bakalan hilang atau lenyap di NKRI tercinta ini klo para penegak hukumnya gak di tes urine semuanya tanpa terkecuali
1318,Romi Ismawan,2023-09-13T12:59:49Z,"Itu sampah gak usah di itung2 total lah,, mafia dn oknum2 harus di kebiri.hehehehehe<br>Apa di kirim ke korut."
1319,Adhi sulfiadi,2023-09-17T11:46:09Z,afa iya bisa jujur....
1320,toko unik,2023-09-13T01:05:08Z,Kelanjutan kasus ini beserta barang buktinya hrs dikawal
1321,Amora Kitty,2023-09-12T22:46:29Z,tangkap saja nanti bisa sebagian di jual cari duit haram buat bonus 🤣🤣🤣🤣😈😈
1322,Amora Kitty,2023-09-12T22:51:38Z,bisa lolos masuk ke Indonesia pasti ada peran pejabat yg jadi beking
1323,Fellow Fellow,2023-09-13T09:42:17Z,Racunih pengedar narkoba internasional matiiii
1324,Muhammad Fikri,2023-09-13T01:57:18Z,Nyayur😅
1325,Emilia Emilia,2023-09-12T23:26:41Z,"Tdk sampai di penangkapan², pengamanan &amp; pemusnahan barang bukti pun hrs jadi perhatian khusus !!!!!!"
1326,Otong Lenong,2023-09-16T15:16:12Z,"Polisi Indonesia memang hebat, dan dunia pun mengakui nya."
1327,RandomLur,2023-09-17T09:11:03Z,BRAVO POLRI
1328,Ajii Joyja,2023-09-13T12:28:05Z,"Semoga Aparat, Negara semakin serius &amp; tegas dlm memberantas narkoba. Termasuk dlm memberi hukuman kpd bandar &amp; pengedarnya."
1329,fella Zain,2023-09-12T22:13:05Z,Oknum yg terlibat sudah deg deg ser 🤣🤣
1330,Basu Khoiri,2023-09-15T07:13:02Z,Takut saya tersangka kalau sudah ditahan ternyata di LP malah lepas karena penjaganya dapat sogok
1331,Labu,2023-09-13T02:27:17Z,Apa yg dikatakan pak alvian Lim semua itu fakta
1332,Tahta sang illusionist,2023-09-13T01:21:47Z,Ketika ratu narkoba aceh bernyanyi
1333,dark jhoker,2023-09-14T16:39:27Z,Terbongkarnya ketika mendekati pemilu selalu ada berita² besar kenapa ga di awal² setelah pemilu selesai....apakah ada sesuatu tersembunyi di balik berita² besar
1334,paijo,2023-09-13T01:20:55Z,Kenapa yang di usut hanya jaringan narkoba yang dari sipil jaringan Sambo mana?....jaringan koruptor mana ?.....termasuk jaringan pemohon SIM mana ?.....
1335,Bearrr7,2023-09-13T15:25:29Z,"Hukum mati lagi ni,"
1336,Ivanka,2023-09-13T00:41:10Z,Mau ada apa nih? Atau emang lagi ada apa nih?
1337,D Londo channel,2023-09-18T11:32:51Z,Cari bekingnya dong baru betul.
1338,Ibson Hardi,2023-09-14T11:34:37Z,Terus BB nya di kemanakan pak Kapolri
1339,ABDI FERIYANDI ZEN,2023-09-12T23:58:30Z,Selamat dan terimakasih polri indonesia yg membrantas narkoba internasional dan lokal❤
1340,Joko Witoto,2023-09-13T05:25:51Z,aneh2 .....
1341,Sulton Auliya,2023-09-12T22:30:26Z,Masak cuman situ doang...? Gk ada lg pelaku2 yg lainnya Tah?
1342,Mohd Anas,2023-09-18T19:49:22Z,Miskinkan perusak anak bangsa
1343,Nano Sutresno,2023-09-18T06:43:21Z,"Bandar dan pengedar narkoba sebaiknya dihukum mati saja, perang secara sistematis, tidak usah menggunakan mesin perang canggih. Sadar apa tidak ya?"
1344,Harris Parningotan,2023-09-15T15:07:07Z,😅😅😅 kok baru tau? Berarti petugas negri ini masih nolll besarrr.
1345,Sianturi Ri,2023-09-15T10:20:32Z,❤❤❤
1346,Trie Widyatmoko,2023-09-16T05:24:22Z,Kenapa kok dimaskeri ?😂
1347,Sumariyah Sorong,2023-09-14T10:54:00Z,Ternyata betullitu
1348,かんちょう,2023-09-13T11:26:21Z,Mantap! 👍 semoga gk ada diskon hukuman
1349,Earta Asyir,2023-09-13T04:50:07Z,Klo ada BB nya hukum mati lah
1350,Robet Dirung Hunter,2023-09-22T12:42:40Z,Ah g percaya..paling disita utk di bisnis Kan lagi.
1351,Edward Edo,2023-09-16T10:58:29Z,Hukum mati
1352,aat Kusbianto,2023-09-15T14:42:59Z,Musnakan semua lihatkan kepublik hukum mati semua tersangka biar remaja indonesia aman
1353,Ksannadi Andre,2023-09-15T17:38:18Z,Di hukum mati pak polres
1354,nort canyon,2023-09-16T09:30:24Z,baru satu jaringan ya pak ..masih adakah yg lebih gede lagi ya pak..???....
