nomor,nama_akun,tanggal_komentar,komentar
116,Kenza Day,2023-09-15T14:47:03Z,"gak heran sambo banyak punyak uang,"
117,Jar Kasih,2023-09-15T04:32:40Z,Kadang bikin bingung juga knp jaringan narkoba bgt besas dan pastinya perlu proses lama untuk mereka para melaku..u tuk menjadi besar.hingga tak ter endus kepolisin/aparat hukum..ada kemungkin ada sebabagian oknum oknum yg tau tapi menutup mata alias dapat jatah..suatu peluang besar omset nya..di sita wat negara...dan pastinya di amankan yg sangat aman..wk wk wk..
118,Mikehu5099,2023-09-13T03:20:00Z,"Biasa teman&quot;di manggil nama dia koko lufi alias fredy,alias miming"
119,Tiana Diansari,2023-09-13T01:38:16Z,"Penjajahan jaman ini, narkoba, pinjol, judi online 😢"
120,Slamet Raharjo,2023-09-18T15:24:00Z,Penegak hukum Indonesia kurang tegas....makanys penjahat meraja rela..terus...🙏🙏
121,Hessa Yasir,2023-09-14T05:47:31Z,"Susah akhir zaman ini,apakh masih ada ketegasan hukum masalah narkoba,bila masih kalah dgn duit"
122,antilag,2023-09-14T10:28:16Z,"HABISKAN HARTANYA BIAR TDAK ADA BIANG KELADINYA , KARENA DISITA MEREKA GABAKAL BISA JUALAN LAGI MESKIPUN DILAPAS NANTINYA"
123,EdyIrp,2023-09-13T08:15:08Z,Buat para tersangka&gt;&gt;&gt;💨💨💨kentut
124,Ali As'Ad,2023-09-15T11:59:59Z,Sabu sabu dikalimantan apa bebas?
125,Azar,2023-09-13T07:11:22Z,Hukum matii...dah melebihi batas..
126,V-Venom,2023-09-18T13:20:31Z,Kan china yg punya kerja
127,Al-Thaf,2023-09-15T15:26:58Z,"Semoga bisa di hukum seperti pak TM, Bravo polri"
128,Patimah Binti soheh,2023-09-13T07:41:41Z,Ambil sama pemerintah biar kita hidup yng ga layak jadi layak
129,Puji Antoro,2023-09-15T18:07:50Z,hukum mati yg hrus di dapat
130,Koleksi LaptoPKUjogja,2023-09-15T23:48:55Z,Tidak mungkin tanpa backingan
131,ABDI FERIYANDI ZEN,2023-09-12T23:58:40Z,Selamat dan terimakasih polri indonesia yg membrantas narkoba internasional dan lokal❤
132,Mikha Young,2023-09-15T16:29:09Z,Trs ert barang bukti uang itu klo kasusnya sdh kelar mau dikemanakan..???? Apa dimusnahkn jg bersm narkotika
133,Agus Darmawan,2023-10-08T06:29:45Z,"&quot; PENJAHAT ITU JNG DIKASIH  KESEMPATAN ,UTK MERUSAK RRI DAN NKRI ,"
134,Nawar Nawar fain,2023-09-15T19:41:06Z,Mantap kasih miskin bila perlu tembak mati satu keluarga...❤❤❤❤❤ bravo polri
135,Perjuangan Dan doa,2023-09-13T00:44:53Z,"Lw GK dihukum mati bandar&quot;narkoba GK bkl kapok ngedarin trus ke generasi muda Indonesia,mohon pengadilan ,hukum mati semua,bandar&quot;narkoba,inih dah merusak generasi&quot;muda"
136,Purwantoro 872,2023-09-13T00:46:38Z,Hukum seberatnya perusak generasi bangsa
137,Juh Ran,2023-09-17T14:46:47Z,Rempang bgaimna
138,ROBI IBAKA,2023-09-17T03:05:11Z,Brantas demi anak bangsa
139,fatamorgana,2023-09-15T14:00:10Z,Semoga...... <br>Berkah pok Polisi.
140,Abdul Kohar,2023-09-14T14:56:39Z,Hukum mati
141,Berry Kapor,2023-09-15T08:37:29Z,Miris sekarang narkoba udh masuk ke desa² dgn gampangnya tapi aparat kayak g ada reaksi apa².. seharusnya polda harus turun langsung ke polres² di daerah ² periksa semua polisi yg bertugas di daerah²
142,Ahmad Fikri,2023-09-16T07:12:41Z,CAAIIIIIRRRRRRR 🤣<br>SEKILO AJA BANYAK DUITNYA <br>APALAGI 10T<br>Pura2 ga tau aja dah 🤣🤣
143,Ahmad Fauzan,2023-09-12T22:39:04Z,Polisi sudah tahu itu sejak berbulan bulan yang lampau. Tapi diviralkan sekarang.  Pengalihan isu REMPANG.
144,Cakra Kalandra,2023-09-13T08:23:24Z,"bsa jdi 10T sengaja didpt,..100T ny lolos sprti d ksus TM 1ton sabu sengaja didpt,,, 5ton ny lolos😅"
145,Muh Idris,2023-09-16T08:29:28Z,Pantas saja bangsa Indonesia sulit berkembang ternyata ini semua penyakit nya
146,yustami yustami,2023-09-16T10:12:35Z,Bos narkoba peralatan yang lebih canggih dan ber ubah ubah  setiap waktu semakin dikejar makin meraja lela
147,Makads Makads,2023-09-12T23:26:15Z,Apapun yg dilakukan polisi saat ini..sy kurang begitu yakin percaya...karena polisi saat ini banyak melakukan rekayasa dan penipuan..lihat kasus sambo.
148,harmansyaloebiz,2023-09-19T10:50:23Z,"Semoga kerja sama antar negara terutama Malaysia dan Thailan dapat berjalan dengan baik, dlm memberantas narkoba"
149,R pG,2023-09-16T00:18:08Z,Ditunggu hukuman mati nya ... Biar ada efek jera buat yang lain
150,Kurnia Wan,2023-09-13T01:06:57Z,awas tawas
151,akeda rui,2023-09-16T04:52:24Z,Pertanyaan saya uang sitaan mau dikemanain?
152,Ismah Rizal,2023-09-15T12:12:52Z,YANG KORUPSI RATUSAN TRILIUNAN BAHKAN RIBUAN TRILIUNAN TOLONG DI UNGKAP SAMPAI KE AKAR AKAR NYA.....
153,siti khusnul,2023-09-17T22:39:19Z,"Massa Alloh,pada hal Barito/ Kalsel itu terkenal kota santri bahkan ada yg bilang kota Mekkah ke dua kok bisa ya,makasih pak pol 👍👍👍💪💪🙏🙏🙏"
154,euis rohanah,2023-09-15T16:29:39Z,D hukum mati jangn d hukum seumur hdup tr berolah lg sklian hukum mati byr pada jera smuanya yg meng edar dan memake Klo cmn d hukum seumur hdup Pati tr d penjara berbisni lg  Ama anak buah ya brtas Titan narkoba apa pun bhnya skat habis ype ke akar2 ya...
155,Wawan,2023-09-27T18:18:44Z,Bravo polisi jujur indonesia hukum harus adil koruptor SM narkoba bikin hancur suatu negara harus di basmi klo ngga bangsa Indonesia tinggal tunggu kehancurannya  tugas penegak hukum harus tegas dong......
