nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
1949,@CantikaChairunnisa-jw6qr,2023-09-13T01:35:28Z,"thn kemarin BNN paparkan data sabu yg masuk 30ton tapi gak di tindak,BNN cuma tau hitung brpa jumla yg masuk tapi gak di tindak...kan korup",tahun kemarin bnn papar data sabu gak tindak bnn tau hitung brpa jumla gak tindak korup
707,@kalangitomisimondrakel4650,2023-09-13T00:42:17Z,Jgn  senang.  Karna  narkoba tidak jauh dari keterkaitan. Dgn kejaksaan hakim dan polisi. Pasti ada  yg terlibat  tidak mungkin tidak.  Dimana ada makanN. Pasti ada tikus.,jangan senang karena narkoba kait dengan jaksa hakim polisi libat mana tikus
1225,@user-jy7lt1xh1f,2023-09-17T22:39:19Z,"Massa Alloh,pada hal Barito/ Kalsel itu terkenal kota santri bahkan ada yg bilang kota Mekkah ke dua kok bisa ya,makasih pak pol 👍👍👍💪💪🙏🙏🙏",massa alloh barito kalsel kenal kota santri bilang kota mek makasih pol
847,@gatotsuyudono3868,2023-09-17T13:08:56Z,Salut buat POLRI tangkap gebuk gruduk langsung tembak klau UNDANG2 memperbolehkan heee mana tu dosen UI Markonah kok diam sih tembok door pantatnya dooor,salut polri tangkap gebuk gruduk tembak undang boleh dosen markonah diam tembok pantat
1651,@nelawatinelawati4501,2023-09-14T23:24:08Z,"Bnr itu merusak generasi bangsa..dan beban,mslh besar  buat kluarga yg anak ny tersandung dgn mslh ini",benar rusak generasi bangsa beban mslh keluarga anak sandung dengan mslh
1767,@Officialtranslater-yg3ng,2023-09-16T08:30:20Z,TIDAK BUTUH BERBULAN2 DI LAUT CINA SELATAN MENANGKAP GEMBONG. TERNYATA MEREKA ENAK2 BERKOORDINASI DARI HOTEL. HEDEH,butuh berbulan laut cina selatan tangkap gembong enak koordinasi hotel hedeh
2058,@yantoyanto1308,2023-09-20T03:09:22Z,"Semua yang trlibat harus di tindak tegas tidak ada tawar menawar harus, kalo perlu itu namanya penyakit jangan cuma di hukum seumur hidup namanya penyakit virus biar tdk menyebar menular tembak mati aja dor, biar tdk brtunas lagi!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",libat tindak tawar tawar nama sakit hukum umur hidup nama sakit virus biar tidak sebar tular tembak mati aja dor biar tidak brtunas
1456,@sayatktau,2023-09-17T06:50:34Z,Jgn gitu lah bang sisain dikit lah..gimana kami mau nyabu lagi kek gini cerita nya..harga makin mahal lah kayak gini😢😂😂😂,jangan gitu bang sisain dikit gimana nyabu kek gin cerita harga mahal kayak gin
1334,@putriinrh493,2023-09-13T03:25:45Z,Alaa.. Meskipun  tertangkap pengedar sabu2  kalao sudah sidang di ke jagong  di suap  uwang  perkara di totop dengan  bebas semuanya  rakyat sudah gak percaya hukom.  Hukom  untok orang mesken  saja.,alaa tangkap peedar sabu kalao sidang jagong suap uwang perkara totop bebas rakyat gak percaya hukum hukum untok mesken
555,@romiismawan7267,2023-09-13T12:59:49Z,"Itu sampah gak usah di itung2 total lah,, mafia dn oknum2 harus di kebiri.hehehehehe<br>Apa di kirim ke korut.",sampah gak itung total mafia dan oknum kebiri heheheheheapa kirim korut
452,@noormadibmdnoormdnoor6477,2023-09-13T03:38:30Z,"Congrate to Indonesian Police and when they do &quot;undercover&quot;,they are really &quot;the best&quot;.Salute Indonesia Police and we so proud to see this.",congrate indonesian police and when they undercover they are really the best salute indonesia police and proud see this
1607,@maduwinmaduwin984,2023-09-16T04:34:56Z,Lucu iya pelabuan bandara jln tikur antara negara di jaga.<br>Kok bisa  narkoba ini msk iya.<br>Klau pun ada pabrik nya di dlm  dlm negara pasti tdk lama ketahuan .,lucu iya labu bandara jln tikur negara jaga narkoba msk iya pabrik dalam dalam negara tidak tahu
395,@nurulwahyudin4560,2023-09-16T02:25:23Z,NARKOBA JUDI DAN SEMACAM NYA GA BAKAL ADA DI BUMI PERTIWI KALO GA ADA OKNUM YG IKUT BERMAIN..!!!!<br><br>FERDY BUDIMAN MAU BUKA MULUT KEBURU DI HUKUM MATI,narkoba judi tidak bumi pertiwi tidak oknum main ferdy budiman buka mulut keburu hukum mati
1946,@aribapau2493,2023-09-13T00:18:31Z,Bukti sitaan harus transparan brupa narkoba ato uang .. blajar dari kasus alm Fredy Budiman banyak jenderal yg trlibat yg skrg ga diusut lagi .. ini ga menutup kmungkinan ada beking oknum,bukti sita transparan brupa narkoba ato uang blajar alm fredy budiman jenderal libat sekarang tidak usut tidak tutup kmungkinan beking oknum
1403,@agungsetiadi2066,2023-09-13T04:19:02Z,"JOS GANDOS BUAT POLRI, HATAM TERUS PAK POL ! <br>PENINDAKAN SEPERTI POLRI INI HARUS DILAKUKAN JUGA OLEH KPK ! KORUPTOR HARUS DIMISKINKAN DAN PENERAPAN HUKUMAN MATI.",jos gandos polri hatam pol tindak polri kpk koruptor miskin terap hukum mati
939,@robsonhoms2798,2023-09-17T01:20:17Z,"Terima kasih pada pemerintah Thailand &amp; Malaysia ... 👏👏👏<br><br>Kapan saya bisa bekerja dengan layak di Indonesia ini?, supaya tidak menjadi orang orang seperti itu dikarenakan sulitnya mencari lapangan pekerjaan<br><br>Kebanggaan saya terhadap polisi terletak pada Kapolri pertama, itu yg saya hormati &amp; saya kagumi terhadap institusi Polri selama saya hidup, selain itu, semua Kapolri yg ada &amp; sebelumnya saya anggap sampah, bila seandainya dia tidak ada, mungkin nama Polri sudah tidak bisa terselamatkan lagi di Indonesia ini",terima kasih perintah thailand malaysia layak indonesia sulit cari lapang pekerjaankebanggaan polisi letak kapolri hormat kagum institusi polri hidup kapolri anggap sampah anda nama polri selamat indonesia
1983,@ferryamd3613,2023-09-14T16:28:31Z,"Izin MABES POLRI tangkap terus bandar narkoba&#39;sekalian tangkap ada oknum oknum membekingi&#39;gara gara barang sampah ini banyak korban jadi ny,gara gara Shabu korban pemakaian barang bukti 200rb di kurung 5 tahun penjara sungguh tragis gak barang sampah ini",izin mabes polri tangkap bandar narkoba tangkap oknum oknum beking gara gara barang sampah korban gara gara shabu korban pakai barang bukti kurung tahun penjara sungguh tragis gak barang sampah
521,@sigitdwicahyono6744,2023-09-13T04:58:58Z,Trus kpn exekusi di hadapan regu tembak nya ....😅😂 klu bs di hadapan umum biar jera....jgn kelamaan sidang saat sudah ditangkap,terus kapan eksekusi hadap regu tembak kalau hadap umum biar jera jangan sidang tangkap
