Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
727,Campur Sari,2023-09-16T03:39:03Z,"Ini hal sdh ke tiga kali selama 10 tahun teeakhir ini...dan baru sepuluh tahun ini jujur..bs sampai triyunan...ingat tdk pasokkan ton an..narkoba...yg tertabgkap..lalu kedua kali sama..dan saat ini malah jaringan narkoba...<br>Knp bisa Bgtu..ini nyata...dulu jgn mengada ngada klo bilang ada smp pasokkan ber ton ton....ini sm aja meng hancurkan anak bangsa ,masa depsn bangsa ini....krn setelah terkena Narkoba mrk tdk bs berpikir secara normal ada sel syaraf yg rusak...<br>Dan klo pemerintah pny wibawa harusnya tdk ada yg seperti ini !!!mrk takut segan utk kirim.narkoba ke Indonesoa..aolg saat ini ko ada se org perwira ikut dlm jaringan Narkoba...",sudah  teeakhir puluh jujur triyunan tidak pasok narkoba tertabgkap jaring narkoba knp begitu jangan ada ngada kalau bhilang smp pasok ber meng hancur anak bangsa depsn bangsa karena kena narkoba mrk tidak pikir normal sel sayaraf rusak kalau perintah pny wibawa tidak mrk takut segan untuk kirim narkoba indonesoa aolg orang perwira dalam jaring narkoba
728,CHANNELOS COV,2023-09-12T23:39:58Z,"banyak polisi yg kerjasama dgn pengedar bahkan jadi pengedar juga. <br>tapi ada juga polisi yg menangkap pengedar, itulah polisi indonesia, akhlaknya gak jauh beda dgn rakyatnya.",polisi kerjasama dengan edar edar polisi tangkap edar polisi indonesia akhlak gak beda dengan rakyat
729,Suprianto O,2023-09-19T05:00:33Z,Tumben banget bandar gedenya di tangkap apa sudah pada gak dapet upeti lg,tumben bandar gede tangkap gak dapet upeti lagi
730,Oey Lany,2023-09-19T15:05:50Z,HEBAT  POLISI BER KERJA  SM  DENGAN KEPOLISIAN TAILAN  MALASIA  INDONESIA  HEBAT  KERJA  SAMA  YANG  BAIK  UNTUK BERANTAS  B D  NARKOBA TER BESAR  MASARAKAT  BER TRIMA KASI KEPADA BP  BP YANG BRANTAS BANDAR NARKOBA TER BESAR   DIA MERUSAK GENERASI   MUDA,hebat polisi ber polisi tailan malasia indonesia hebat berantas narkoba ter masarakat ber terima kasi bp bp berantas bandar narkoba ter rusak generasi muda
731,@pejuang keluarga,2023-09-13T01:02:21Z,Alhamdulillah   semoga bpk 2 yg  bertugas  di lindungi oleh alloh swt aamiin,moga bpk  tugas lindung alloh swt aamiin
732,swandi yasa,2023-09-13T03:37:43Z,"Pertanyaan gua, selesai perkara, uang dan asetnya dikemanain? Dimasukin kas negara atau diapain? Kalo masuk kas negara lumayan buat pembangunan dan kalo bisa buat gaji untuk pengakatan honorer ke pns jadi negara ga terlalu beban karna dapet uang dr ini",saya selesai perkara uang aset dikemanain dimasukin kas negara diapain kalau kas negara lumayan bangun kalau gaji pengakatan honorer pns negara tidak beban karena dapet uang dr
733,Andi gravinci,2023-09-13T01:34:58Z,Yg dibongkar jgn pelakunya aja tp jaringannya juga termasuk pihak2 penegak hukum yg terlibat,bongkar jangan laku tapi jaring pihak tegak hukum libat
734,Yusuf Saepuloh,2023-09-12T22:05:08Z,Tolong awasi barang bukti jangan sampai kaya si Teddy botak...... mantap bapak bapak polisi,tolong awas barang bukti kaya teddy botak mantap polisi
735,Erva Siswanto,2023-09-16T08:25:06Z,"Keluar Sambo2 lainnya masih banyak lho?Kalau dibiarka akan meraja lela.Kupinta jangan dilindungi&amp;jangan dibela masalah hukumnya,&amp;dari pihak Pengadilan&amp;Mahkamah Agung jangan hukumnya dilaksanakan secara adil.Contohnya Fridi Sambo kog tdk jadi dihukum mati&amp;dibebaskan dari jeratan hukum.Ingat negara kita kan negara hukum?",sambo lho dibiarka raja lela pinta lindung bela hukum adil mahkamah agung hukum laksana adil contoh fridi sambo kog tidak hukum mati bebas jerat hukum negara negara hukum
736,Dhani Dhani,2023-09-13T14:35:51Z,Tu bpk kapolri..hrs brng bukti d musnahkan dpn rkyat..dn dpn media..tu bru mntrp bpk kapolri..krn kt lht sndri bpk tedy minahasa jendral bintng 2 d jual ny lg..kpn hbs2 ny narkoba.❤❤,bpk kapolri hrs brng bukti musnah dpn rkyat dan dpn media baru mntrp bpk kapolri karena kt lht bpk tedy minahasa jendral bintng  jual lagi kpn hbs narkoba
