Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
241,Skifall Reey,2023-09-16T06:37:07Z,Barang haram tidak akan pernh musnah...jikalau hukuman mati tidak di tegakkan bagi para pelaku .,barang haram pernh musnah hukum mati tegak laku
242,Dede Heni,2023-09-13T01:57:12Z,"Duit semua tuh,ya Allah manusia na k kaya jalan pintas tak pikir akhirat",duit allah manusia na kaya jalan pintas pikir akhirat
243,Putra. Pertama,2023-09-13T04:43:18Z,Gantung saja di tiang lampuh merah..selesai masalah...itu sma penyakit masyarakat...,gantung tiang lampuh merah selesai sma sakit masayarakat
244,ndod Permana,2023-09-15T20:20:23Z,hukuman mati karna akan merusak anak cucu bangsa indonesia,hukum mati karena rusak anak cucu bangsa indonesia
245,Su Wanto,2023-09-17T11:32:16Z,bagi siapa yg mau merusak generasi muda indonesia.kususnya narkoba.yg benar2ketangkap.hukumnya mati.tindak tegas dor di tempat.biar jera bahi yg ngedar narkoba.,rusak generasi muda indonesia sus narkoba  hukum mati tindak dor biar jera bah ngedar narkoba
246,Nova alivasha,2023-09-13T09:19:08Z,"ALHAMDULILLAH...<br>MANTAP PAK POLISI<br>prestasi yg sangat luar biasa<br>tidak pandang bulu<br>sikat habis sindikat perusak bangsa, pengungkapan yang sangat luar biasa, <br>POLRI, Kepolisian terbaik, terhebat disuluruh kepolisian dunia...<br>ungkap tuntas jaringan narkoba jaringan internasional<br>LUAR BIASA",mantap polisiprestasi biasatidak pandang bulusikat habis sindikat usak bangsa ungkap polri polisi baik hebat disuluruh polisi dunia tuntas jaring narkoba jaring internasionalluar
247,calon jenazah,2023-09-17T17:28:32Z,Melek mata nya urusan narkoba mah hahaha gercep barang buktinya awas di jual lagi hahahahah,melek urus narkoba gercep barang bukti awas jual hahahahah
248,Mohd.RizaDjoeli,2023-09-16T10:30:56Z,"Pasti ada yang tidak kena siram....😂😂<br>Barang bukti uangnya jangan lupa masukkan ke kas negara ya, jangan dibagi bagi",siram barang bukti uang lupa masuk kas negara bagi
249,Ody Selong,2023-09-15T03:19:11Z,"Ini kemungkinan jenderal jenderal polisi ikut bekingi, tak mungkin leluasa bisnis ini tak ada yg bekingi...bisnis jenderal polisi Teddy minahasa",jenderal jenderal polisi beking leluasa bisnis beking bisnis jenderal polisi teddy minahasa
250,suwar no,2023-09-19T00:37:43Z,"Pelaku2 peredaran narkoba sangat harus dihukum mati sekalipun jendral ,karena mereka itu pengkianat2 bangsa dan negara.<br>Inilah bedanya para pejuang2 dulu dengan elit2 sekarang ini.<br>Pejuang benar2 memikirkan jiwa bangsa dengan taruhan nyawa,<br>Saat ini para penikmat malah marak merusak jiwa bangsa.",laku edar narkoba hukum mati jendral pengkianat bangsa negara beda juang elit juang benar pikir jiwa bangsa taruh nyawa nikmat marak rusak jiwa bangsa
251,mu'arofah Jombang,2023-09-18T03:56:34Z,"Semua yg terlibat harus dihukum seberatnya bahkan harus dihukum mati sampai ke akar2nya bahkan yg aparat yg melindunginy agar yg lain jera,untuk melindungi masa depan anak bangsa..😅",libat hukum berat hukum mati  aparat melindunginy jera lindung anak bangsa
252,Happy  Blessed,2023-09-13T03:23:25Z,yg ditangkap yg kemeja motif burberry hitam koq mukanya MIRIP BANGET sama ANTON MEDAN ya?? Jgn² memang ANAK dr anton Medan??,tangkap kemeja motif burberry hitam koq muka anton medan jangan anak dr anton medan
253,Mul Yana,2023-09-14T16:35:21Z,"Narkoba, perjudian &amp; kejahatan lain nya gx bisa berkurang, penjahat &amp; aparat nya main kucing2 ngan, TOM &amp; JERRY",narkoba judi jahat gx kurang jahat aparat main kucing ngan tom jerry
254,Saharudin hj Awang,2023-09-18T09:19:32Z,Musuh nombor satu.. korupsi dan narkoba.hancur nya negara kerana korupsi musnah nya anak bangsa kerana narkoba..,musuh nombor korupsi narkoba hancur negara rana korupsi musnah anak bangsa rana narkoba
255,Irwan Marullah,2023-09-13T01:54:04Z,Tambah hebat negri ku jdi pusat narkoba terbesar semenjak rezim ini berkuasa,hebat negri ku jadi pusat narkoba besar semenjak rezim kuasa
256,Tiwul Tuwu,2023-09-12T23:36:35Z,Semoga ketegasan hukum spt di Cina segera bisa di &quot; adopsi &quot; dan di renungkan demi kemajuan bangsa ini !!,moga tegas hukum cina adopsi renung maju bangsa
257,ella channel,2023-09-12T23:31:34Z,Rusak generasi muda Indonesia anak2 muda pd nyabu semua huhuuu😭tembak mati aja tu org2 yg memikirkan kantongnya sendiri,rusak generasi muda indonesia anak muda pd nyabu huhuuu tembak mati orang pikir kantong
258,Xavier,2023-09-16T06:54:59Z,"10 wow, bukan kaleng-kaleng,seumpama 1T dibuat t4 club dugem,,  kmudian narkobanya diedar dit4 itu pula,,, cmiiw😊.. Auto Winstrek...", wow kaleng kaleng umpama t t club dugem kmudian narkoba edar dit cmiiw auto winstrek
259,Beruang Kutub,2023-09-13T17:44:46Z,"Harus dihukum mati ini sih. Kirain pengusaha apa ternyata pengusaha narkotika. Pasti hidupnya udah seperti Sultan, ternyata ketahuan.",hukum mati kirain usaha usaha narkotika hidup sudah sultan tahu
260,Endang Kuswara,2023-09-19T12:23:06Z,"Itulah  akibat pejabat&quot; era sekarang berkiblat ke cina ,segala di halalkan generasi muda mau di hancurkan oleh narkoba ,musnahkan kezoliman&quot; dan penzolim&quot; nya ,Allah bersama kita Amiiin YRA.",akibat jabat era kiblat cina halal generasi muda hancur narkoba musnah kezoliman penzolim allah amiiin yra
261,Maduwin Maduwin,2023-09-16T04:34:56Z,Lucu iya pelabuan bandara jln tikur antara negara di jaga.<br>Kok bisa  narkoba ini msk iya.<br>Klau pun ada pabrik nya di dlm  dlm negara pasti tdk lama ketahuan .,lucu iya labu bandara jln tikur negara jaga narkoba msk iya kalau pabrik dalam dalam negara tidak tahu
262,MADINA-TV,2023-09-18T12:24:23Z,"Apresisasi buat kepolisian atas terungkapnya kasus ini, jgn lupa aparat pembekingnya jg di tangkap, karna itu pasti ada yg terlibat.",apresisasi polisi ungkap jangan lupa aparat beking juga tangkap karena libat
263,Irwansyah Kdw,2023-09-15T15:58:17Z,"capek denger yg beginian.<br>fery budiman sudah di hukum mati,tapi masih marak.<br>mungkin jaringan gurita fery budiman ada yg meneruskannya.😊",capek denger fery budiman hukum mati marak jaring gurita fery budiman terus
264,Muh. Asbul Sewang,2023-09-13T05:00:58Z,"Menghukum mati pengedar narkoba jaringan internasional tidak bisa menggunakan kata kemanusiaan, pertanyaannya.apakah mereka pengedar narkoba punya rasa kemanusiaan,mereka meracuni otak generasi muda dengan narkoba tanpa rasa kemanusiaan.mereka tidak peduli terhadap masa depan generasi muda yang mereka sudah racuni otaknya dengan narkoba yang mereka jual.mereka harus di hukum MATI!",hukum mati edar narkoba jaring internasional manusia tanya edar narkoba manusia racun otak generasi muda narkoba manusia peduli generasi muda racun otak narkoba jual hukum mati
265,ARCLEGION GAMER,2023-09-13T10:20:05Z,Kenapa baru terungkap?? <br>Yang beking sudah tumbang ya?? 😂😂😂😂<br>Oli  mesin palsu ga sekalian ? Omset nya  diatas 10 T malahan,ungkap beking tumbang oli mesin palsu tidak omset atas 
266,Ansori Jais,2023-09-13T00:20:24Z,"Yang jelas dilingkungan polisi harus amanah dan jujur Kalo mau memberantas Narkoba, undang undang perampasan aset dan undang undang batas transaksi tunai harus segera dibuat, agar setiap transaksi bisa di ketahui PPATK.<br>Mari kita dukung polisi yg jujur dan amanah agar peredaran narkoba bisa dituntaskan.",lingkung polisi amanah jujur kalau berantas narkoba undang undang ampas aset undang undang batas transaksi tunai transaksi tahu ppatk mari dukung polisi jujur amanah edar narkoba tuntas
267,Fernando Fams,2023-09-17T15:42:11Z,Kenapa hanya tentang narkoba di sita uang nya kenapa tidak korupsi di begitu jugak 😂 atau penyeludupan izin antara negara di selidiki,narkoba sita uang korupsi jugak seludup izin negara selidik
268,hamba alloh,2023-09-13T04:07:05Z,Bnyk duit nya<br>Itu nanti di kmnakan ya<br>Kan uang haram😂😂apakah dibakar dimusnahkan atau di apain y,banyak duit nyaitu kemanakan yakan uang haram bakar musnah apain
269,KEONG MAS,2023-09-13T04:34:26Z,"Sebenarnya polisi sudah tau soal jaringan narkoba dimana pun berada, besar atau pun kecil. Cuma polisi nunggu momen saja. Kadang pengungkapan kasus besar seperti ini terhalang oleh oknum polisi lainnya. Dimana polisi baik, harus berhadapan dgn polisi jahat yg di bayar bandar narkoba.",polisi tau jaring narkoba mana polisi nunggu momen kadang ungkap halang ooknum polisi mana polisi hadap dengan polisi jahat bayar bandar narkoba
270,Wandi Supriady28,2023-09-18T05:19:55Z,Tanah bangunan yg di Sita kelola oleh negara jagan di biarkan tidak bermamfaat..Biarr ada pemasukan buat negara,tanah bangun sita kelola negara jagan biar bermamfaat biarr pasu negara
271,OnlineNews,2023-09-13T18:02:08Z,"Waduh jangan ganggu acak2 dapur penghasilan orang dong!......kan prostitusi, narkoba, judi online menggerakan perekonomian dan investasi masuk...cuan..cuan...cuan",ganggu acak dapur hasil prostitusi narkoba judi online gera ekonomi investasi cuan cuan cuan
272,Dio Sae,2023-09-15T09:28:45Z,Awas jangan sampe ada pembebasan karena kultur keluarga aparat . Semua orang harus di hukum mati SESUAI aturan,awas sampai bebas kultur keluarga aparat hukum mati sesuai atur
273,Ramadhan Ramadhan,2023-09-16T04:50:41Z,"Yg tramadol aja pengendali dan pengaman nya si topi biru nganuuu ..apalagi yg ini minimal puyer bintang 7😊😊😊.sudahlah ..terserah pemakai dan penguna nya kalau tidak mati,ya gila/stres,kalau kira&quot; bermanfaat buat tubuh pakai bila tak ada manfaat jauhi...gitu aja repot..😊😊",tramadol kendali kam topi biru nganuuu minimal puyer bintang  serah pakai penguna mati gila stres manfaat tubuh pakai manfaat jauh gitu repot
274,Den Bagoes,2023-09-13T18:11:19Z,"Yang ditunggup proses hukum yg sesungguhnya yaitu dengan menghikum pelaku yg seberat beratnya.<br>Jangan ada lagi dihukum hanya dengan hukuman Rehabiltasi, ini<br>hukuman yg memuak kan.",ditunggup proses hukum sungguh menghikum laku berat berat hukum hukum rehabiltasi inihukuman muak
275,Xgame,2023-09-13T05:37:22Z,Wau 10t . Masih gedean korupsi oknum pejbat negara ini....,wau   gede korupsi ooknum pejbat negara
276,Rusnadi,2023-09-12T22:47:53Z,Semuanya yg terlibat dan ditangkapa Wajib diHukum Mati.<br>Bravo POLISI Indonesia.,libat ditangkapa wajib hukum mati bravo polisi indonesia
277,Sulton Hidayat,2023-09-18T12:04:58Z,Org china Jual narkoba unk membeli lahan di negri ini.,orang china jual narkoba unk beli lahan negri
278,Gede Ngurah Suwangsa,2023-09-13T01:07:44Z,Pengedar narkoba memang sebaiknya di miskinkan dengan cara menyita semua kekayaan atas hasil peredaran narkoba dan di beri hukuman mati....,edar narkoba miskin sita kaya hasil edar narkoba hukum mati
279,Riminz,2023-09-17T00:06:04Z,"Video penangkapan= ada<br>Pemusnahan narkoba= mana ada, orng mau di jual lg, di tngkap jg cm formalitas itu, orng bukan gembongnya yg di tngkep, ud jd rahasia umum klo pihak aparat ikut terlibat, 😂",video tangkap adapemusnahan narkoba orng jual lagi tngkap juga cm formalitas orng gembong tngkep ud rahasia kalau aparat libat
280,leonard gasby,2023-09-13T00:45:17Z,Masih byk perwira juga anggota...yg membuat kasus narkoba tertutup rapi. .ini yg harus di bersihkan...pasti akan mudah utk di ungkap..bravo polisi baik,byk perwira anggota narkoba tutup rapi sih mudah untuk bravo polisi
281,Vivo Y20,2023-09-18T08:06:07Z,"Hukum mati dan miskin kan dia, peluru yg ditembak suruh bayar Sama keluaganya  macam hukuman  di cina.",hukum mati miskin peluru tembak suruh bayar keluaga hukum cina
282,Riko Herlambang,2023-09-12T22:59:08Z,"nah ini baru mantab, pohon nya yg di tebang, bukan rantingnya, kalo ranting mau di babat terus menerus jg tumbuh terus tunas baru.",mantab pohon tebang ranting kalau ranting babat terus juga tumbuh tunas
283,Yunus Zakaria,2023-09-13T11:09:54Z,"Aduh kasihan nya buat rakyat miskin yg menderita,andai kan uang sebanyak itu di sumbang kan buat rakyat miskin bangga saya, salut buat polri prestasi nya.",aduh kasihan rakyat miskin derita andai uang sumbang rakyat miskin bangga salut polri prestasi
284,Gemi Gemi,2023-09-13T02:12:19Z,Kasus bermula di tangkap kurir warga malaysia 2 orang lalu polis malaysia bekerjasama dgn indonesia dab thailand jaribgan internasional,tangkap kurir warga malaysia  polis malaysia bekerjasama dengan indonesia dab thailand jaribgan internasional
285,Ricky,2023-09-17T00:08:17Z,Kalau sdh msk kelas internasional jaringan pasti luas. dan polisi yg menangkap tdk bkl bs bertahan lama dicopot atau alami kematian nya. krn jaringan mafia dan uang akan ikut  bermain. tdk mungkin diam aja.,sudah msk kelas internasional jaring luas polisi tangkap tidak bkl tahan copot alami mati karena jaring mafia uang main tidak diam
286,chairudin annu annu,2023-09-13T02:42:21Z,"Bongkar , kikis , gulung , tenggelamkan , sampai ke akar akar nya , ini ordionari crime, ...bravo polri..",bongkar kikis gulung tenggelam akar akar ordionari crime bravo polri
287,WONG BANTEN,2023-09-16T00:03:48Z,Sekalian jaringan koropsi yang merugigan uang negara.jangan kesit tegas ke nerkoba dowang.,jaring koropsi merugigan uang negara sit nerkoba dowang
288,Anne Susiane,2023-09-15T06:40:05Z,Astaghfirullah generasi penerus selndonesia mau diracun sm Fredy pantas&#39;y hukuman MATI! Regu tembak siap2 manusia Biadab!,astaghfirullah generasi terus selndonesia racun fredy  hukum mati regu tembak siap manusia biadab
289,Kadoen Doen,2023-09-18T01:58:49Z,Bisnis narkoba sebesar itu tanpa bekingan orng besar ga mungkin bisa berjalan......  ga mungkiiiiin,bisnis narkoba beking orng tidak jalan tidak mungkiiiiin
290,Rudy Channel,2023-09-13T01:04:44Z,hukum mati indonesa gak kekurangan orang. Efek narkoba coy mengerikan,hukum mati indonesa gak kurang efek narkoba coy keri
291,Kasmin SH,2023-09-17T20:47:49Z,"Pk kapolri ttp komitmen ekornya terbukti melanggar kepalanya diatas dipotong artinya di pecat sj. Ganti yg baru, termasuk aggt yg terlibat pecat semua, jgn takut smg alloh memudahkan amiin",pk kapolri ttapi komitmen ekor bukti langgar kepala atas potong pecat saja ganti aggt libat pecat jangan takut smg alloh mudah amiin
292,siboan tua,2023-09-13T04:27:59Z,Wkwkw kocak bnget dah dia jualan narkoba kenapa harta di sita? Sementara koruptor di pelihara,kocak bnget jual narkoba harta sita koruptor pelihara
293,Cantika Chairunnisa,2023-09-13T01:35:28Z,"thn kemarin BNN paparkan data sabu yg masuk 30ton tapi gak di tindak,BNN cuma tau hitung brpa jumla yg masuk tapi gak di tindak...kan korup",tahun kemarin bnn papar data sabu   gak tindak bnn tau hitung brpa jumla gak tindak korup
294,aat Kusbianto,2023-09-15T14:42:59Z,Musnakan semua lihatkan kepublik hukum mati semua tersangka biar remaja indonesia aman,musnakan lihat publik hukum mati sangka biar remaja indonesia aman
295,Agus Darmawan,2023-10-08T06:29:45Z,"&quot; PENJAHAT ITU JNG DIKASIH  KESEMPATAN ,UTK MERUSAK RRI DAN NKRI ,",jahat jng kasih sempat untuk rusak rri nkri
296,Imron Rosyadi,2023-09-12T22:55:40Z,"Kalo pemakai narkoba dibilang korban, mau sampe kiamat pun bakalan ada yg pake...",kalau pakai narkoba bhilang korban sampai kiamat pake
297,Andi Oktaviano,2023-09-13T11:10:22Z,"Para pengedar narkotika persiapkan diri dengan hukuman mati.<br>Bagi para pengguna narkotika persiapkan diri bertempat tinggal dalam ruang tahanan orang, tindak didalam penjara sesuai hukum yang berlaku.<br>Demi memperbaiki generasi masa depan menjadi lebih baik, menjalani aktivitas hidup bekerja tanpa menggunakan narkotika.",edar narkotika siap hukum mati guna narkotika siap tempat tinggal ruang tahan tindak dalam penjara sesuai hukum laku baik generasi jalan aktivitas hidup narkotika
298,eddy junaidi,2023-09-13T04:08:13Z,Yg jadi Pertanyaan nilai 10 T itu bisa lolos kmrn2..Apa ada Peranan POLISI???Trus BOS Narkoba nya sdh ketangkep??palg Bisnis Narkoba nya bisa beli Aset Hotel dsb..,nilai  lolos kmrn peran polisi terus bos narkoba sudah ketangkep palg bisnis narkoba beli aset hotel dsb
299,Rusmanto Lubis,2023-09-15T12:10:50Z,Memang la sabu pulak dimana² bisa dibeli jadinya banyak copet entah cemana nya negri ini,la sabu pulak mana beli copet cemana negri
300,naufal Arziki,2023-09-17T03:33:03Z,"Salah apalah bangsa ini, semakin banyak para pemain narkoba berseragam yg menghancurkan negerinya sendiri, ada dendam apa sebenarnya...",salah apa bangsa main narkoba seragam hancur negeri dendam
301,ZFN,2023-09-13T08:43:17Z,Jual aja barang bukti narkobanya ke negara lain yg legalin narkoba...duit nya buat bayar hutang negara,jual barang bukti narkoba negara legalin narkoba duit bayar hutang negara
302,Tahta Grin27,2023-09-13T10:13:13Z,"Yang mau di pertanyakan, itukan hasil aset di sita, uangnya kemana nanti yaa, dan itu juga hasil uang haram??",itu hasil aset sita uang mana yaa hasil uang haram
303,Angin Lalu,2023-09-13T09:35:07Z,Salut buat pak polisi yg baik.<br>BB harus transparan takut nantinya di jual lagi sama polisi yg gak baik.<br>Karena sudah pernah kejadian (TM),salut polisi transparan takut jual polisi gak jadi
304,Sumiyati Bhai,2023-09-13T11:48:54Z,Kalau bisa mah cari uang /rizki itu yg halal&quot;aza. Tapi ya gimana walaupun kharam tetap di jalani karna itu tergiur dengan hasil triliunan.,cari uang rizki halal aza gimana kharam jalan karena giur hasil triliun
305,Djoko Doank,2023-09-12T22:39:53Z,"lakukan sama dg pelaku korupsi,,,sita semua aset nya.akn merdekan indonesia",laku dg laku korupsi sita aset akn merdekan indonesia
306,Yudhi Aryanto,2023-09-13T00:06:52Z,Hukuman mati harus di berlakukan buat bandar atau jarinagn narkoba.  Karena bisa merusak generasi indonesia,hukum mati laku bandar jarinagn narkoba rusak generasi indonesia
307,Tutik Bjn,2023-09-15T11:31:38Z,Trimakasih bapak kapolri indonesia semoga teliti dan julik menangkap penjahat 👍👍👍👍👍🇲🇨,terimakasih kapolri indonesia moga teliti julik tangkap jahat
308,Edi Yanto,2023-09-12T22:51:04Z,"Ati ati, ati ati, ati ati.. barang bukti berupa uang dan narkoba harus extra diawasi, jangan sampe hilang",ati ati ati ati ati ati barang bukti uang narkoba extra awas sampai hhilang
309,Prabowo Marthadinata,2023-09-15T18:46:20Z,Dan saya yakin sekali di dlamnya jga ada oknum coklatnya.<br>Itu udah wajib<br>Jadi buka suatu kebanggaan atau prestasi.👎,dalam juga ooknum coklat sudah wajibjadi buka bangga prestasi
310,kahfi,2023-09-15T08:13:58Z,"Bagus lah buat bayar utang negara &quot;<br>Pecat saja pak polisi, tni pejabat yang bertelele,, semua Tau itu setiap pejabat daerah Suka makai narkoba dan main prempuan, bukan di jawa saja setiap daerah begitu &quot;bupati walikota.. Polda jambi  sering kecolongan itu..",bagus bayar utang negara pecat polisi tni jabat tele tau jabat daerah suka maka narkoba main prempuan jawa daerah bupati walikota polda jambi colong
311,agung setiadi,2023-09-13T04:19:02Z,"JOS GANDOS BUAT POLRI, HATAM TERUS PAK POL ! <br>PENINDAKAN SEPERTI POLRI INI HARUS DILAKUKAN JUGA OLEH KPK ! KORUPTOR HARUS DIMISKINKAN DAN PENERAPAN HUKUMAN MATI.",jos gandos polri hatam pol tindak polri kpk koruptor miskin terap hukum mati
312,Po Cin Hon,2023-09-13T04:20:50Z,Tdk ush di pk masker biar masyarakat kenal perusak bangsa Indonesia sendiri,tidak ush pk masuker biar masayarakat kenal usak bangsa indonesia
313,Hutzon Siahaan,2023-09-18T13:17:16Z,"mohon usut dalang d backingnya para pngak hukum jngn hny  sbts ditangkap,kmn arah uang d ast yng disita tsb pak pol???",usut dalang backing pngak hukum jangan hny sbts tangkap kmn arah uang ast yng sita tsb pol
314,Vivo Pasid,2023-09-15T01:54:07Z,"Semoga Polri balik seperti dulu, yakni dibawah TNI. Kematian orang akibat kesalahan TNI sangat heboh tapi kematian akibat narkoba baik karakter atau nyawa orang  yaaah jutaan oran. Pieee ikiii.",moga polri bawah tni mati akibat salah tni heboh mati akibat narkoba karakter nyawa yaaah juta oran pieee ikiii
315,Umi hery Umi hery,2023-09-19T13:58:18Z,p polisi yg jendral2 sabu nya jgn di jual lagi spertijendral tedy ok,polisi jendral sabu jangan jual spertijendral tedy ok
316,Kus Wiati,2023-09-18T09:36:48Z,Bisnis haram dr orang 2 elit🥵🥵🥵brantas ja perusuh2 masyrkat,bisnis haram dr  elit berantas ja rusuh masyrkat
317,Kuala Kaya,2023-09-13T00:52:25Z,"Innalillahi darurat narcoba,ya allah lindungilah NKRI dari manusia2 serakah yg merusak regenarasi anak bangsa amin",innalillahi darurat narkoba allah lindung nkri manusia serakah rusak regenarasi anak bangsa amin
318,Wawan,2023-09-27T18:18:44Z,Bravo polisi jujur indonesia hukum harus adil koruptor SM narkoba bikin hancur suatu negara harus di basmi klo ngga bangsa Indonesia tinggal tunggu kehancurannya  tugas penegak hukum harus tegas dong......,bravo polisi jujur indonesia hukum adil koruptor narkoba bikin hancur negara basmi kalau bangsa indonesia tinggal tunggu hancur tugas tegak hukum
319,Wisnu Fauzi,2023-09-14T06:48:25Z,Ungkap situs situs slot bandar nya or Indonesia semua .. parah co marak sekali di Indonesia judi slot bikin stres or aja,situs situs slot bandar indonesia parah co marak indonesia judi slot bikin stres
320,amran ali,2023-09-13T02:13:43Z,"Lumrah, seorang Kapolda saja yang ketahuan 5 kg seharga 2,5 Milyar .. gimana yang gak ketahuan (gunung es yg tak nampak bisa2 95% ..... kalikan saja).",lumrah kapolda tahu  kg harga   milyar gimana gak tahu gunung es nampak bisa  kali
321,Nyai Rohayati,2023-09-19T22:08:43Z,Adili dan tembak mati.karena mereka menghancurkan harapan keluarga masrakat dan negara,adil tembak mati hancur harap keluarga masrakat negara
322,Hasmono Saptowijoyo,2023-09-19T05:01:44Z,Mohon yang  tim menangjap  di sekolahkan tamtama di bintarakan bintara di perwirakan  perwira   di sekolahkan ke prik  yang kolonel di jenderalkan  akp akbpkanakbp ke kombes  gitu,tim menangjap sekolah tamtama bintara bintara perwira perwira sekolah prik kolonel jenderal akp akbpkanakbp kombes gitu
323,Rojalih Anim,2023-09-17T13:05:00Z,"DIMANA SIH TITIK KELEMAHAN LEMBAGA YUDIKATIF KITA BESERTA INTELJEN NYA.......   KO MASALAH NARKOBA DAN KORUPSI DI NEGRI INI GAK SELESAI SEKESAI......<br>APAKAH BUKAN MUSTAHIL INI ADA PEMBIARAN , AGAR PETUGAS ADA KERJANYA DAN ADA PEMASUKAN UANG YG ENTAH KEMANA MASUK NYA.....!!!!",mana titik lemah lembaga yudikatif serta inteljen narkoba korupsi negri gak selesai sai mustahil biar tugas kerja pasu uang mana
324,Azza Ayudia Viantri,2023-09-13T00:48:57Z,Bravo aparat kepolisian...koruptor miskinkan harta kekayaanya juga..baru Indonesia akan maju.,bravo aparat polisi koruptor miskin harta kekayaa indonesia maju
325,Yayuk Nusaloka,2023-09-13T00:29:02Z,Aset ambil untuk negara.<br>Usut sampai tuntas sampai keakar2nya dan penjarakan mereka²aparatur negara yg ikut mem-baking-in klo ada.<br>Jgn ada permainan mata.<br>Titik,aset ambil negara usut tuntas  penjara merekaaparatur negara mem baking kalau jangan main titik
326,Nada Kurniawan,2023-09-15T22:19:50Z,Setengah kilo aja udah di kira bandar bisa di hukup mati . Apa lagi 10 ton? Klo masih lolos dr hukuman berat dan hanya di penjara beberapa tahun doang parah sih  🤔,kilo sudah bandar hukup mati  kalau lolos dr hukum berat penjara doang parah
327,Atar mihim Sirotol mustakim,2023-09-13T19:51:02Z,"Kekaya,an dari hasil barang harang yang merusak akal manusia.... Semoga pelakunya di hukum mati, agar jera buat yg lainnya...",kaya hasil barang harang rusak akal manusia moga laku hukum mati jera
328,Amoonah,2023-09-13T03:40:03Z,"Barang haram bisa masuk ke 👇pasti ada yg memberi jln.kalau hanya cucurut gak bakalan bisa.soalnya ada oprasi dr badan hingga barang.ini pasti ada jalur2 mulus,gak heran guys<br>Ternyata benar di sidang Dodi cs itu barang Import kah",barang haram jln cucurut gak oprasi dr badan barang jalur mulus gak heran guysternyata sidang dodi cs barang import
329,Makhluk Tuhan,2023-09-16T23:48:44Z,"Polisi Indonesia : ini tangkapan besar harus di usut tuntas<br>Bandar : ini hanya masalah kecil, tetap lanjutkan peredaran biar merasa mereka (polisi) bekerja. Siapkan uang kita suap mereka biar jln lancar<br>Wkwkkwkwkw semua sudah ada jalurnya",polisi indonesia tangkap usut tuntasbandar lanjut edar biar polisi siap uang suap biar jln lancarwkwkkwkwkw jalur
330,Dunia dalam berita,2023-09-14T11:27:11Z,Heran nya masih aja pada mau Makai narkoba....<br>Klo ga da pemakai gak mungkin ada penjual😅...,heran maka narkoba kalau tidak da pakai gak jual
331,Efendy H,2023-09-15T01:09:11Z,"Wooo allah polisi menangkap polisi pengedar, masih terima Tedy minahasa, Ferdy Sambo  dll, kenapa orang lain bia sa mati.",wooo allah polisi tangkap polisi edar terima tedy minahasa ferdy sambo dll bia sa mati
332,SKC 90,2023-09-18T15:24:19Z,"tolong kepada petugas yg berwenang, berantas narkoba sampai ke akar2 nya, sekarang di kampung2 pun sudah terjajah oleh narkoba,",tolong tugas wenang berantas narkoba akar kampung jajah narkoba
333,Ricko~リッコ-[malas ID],2023-09-14T14:36:22Z,Emang gak paham gua padahal dulu gua kira cuma hotel biasa ternyata tidak di daerah gua lagi,emang gak paham saya saya hotel daerah saya
334,mannnnnn,2023-09-13T05:46:30Z,"beuh, inimah udah sekelas film film action, bukan jaringan biasa inimah",beuh inimah sudah kelas film film action jaring inimah
335,abdul kamid,2023-09-17T10:05:20Z,Indonesia dihancurkan dari segala lini termasuk maraknya narkoba yg beredar luas diindo,indonesia hancur lini marak narkoba edar luas diindo
336,Mustofal Halim,2023-09-16T01:15:42Z,Pak uang 100miliar tsb itu nanti dialokasikan kemana ya..jg uang2 yg sdh di terima dri kasus2 sebelumnya,uang    tsb alokasi mana juga uang sudah terima kasus
337,Faktiansyah Fak,2023-09-13T13:12:13Z,"Igt kembali kasus Fredy Budiman, dia hanya operator besar yg menjalankan penyelundupan obat2an terlarang masuk ke Indonesia, tp setiap pergerakan penyelundupanua dia atur dg ,polisi,beacukai dan BNN, pakai saja logika penyelundupan sebesar ini dg jangka waktu panjang g akan mungkin BS lolos jika tidak ada intansi2 terkait yg ikut turut serta.",igt fredy budiman operator jalan selundup  larang indonesia tapi gera penyelundupanua atur dg polisi beacukai bnn pakai logika selundup dg jangka lolos intansi kait
338,Dani Gondes,2023-09-15T05:02:45Z,Wahay para bndar2 narkoba tetaplah berjuang ttus jangan pernah takut krena semua  orang munafik,wahay bndar narkoba tetap juang ttus takut krena munafik
339,Jalan yang lurus,2023-09-15T23:34:39Z,"Wah polisi tajir melintir bagi-bagi tangkapan kakap,  sitaan dicak rata ya pak",polisi tajir melintir tangkap kakap sita cak rata
340,Karisma Asep,2023-09-13T06:57:41Z,ini.pasti ulah oknum penjahat negara...coba kita awam .bawa sabu gak bakal lolos....di jamin....cara pikir sederhana......apratur negara.ini  katanya  ngaku oknuum..bikin ulah..di pelabuhan karna apratur ngera ini ..sangsi...gak ada kecuali ketauan rakyat itu paling yang ketuan di hukum..kata ...nya  hahaahahah llihat aja udah jelas oknum jedral bejat  ee ada diskon  hukman hahahah kepetusan gak sepakat dengan rakyat itulah....pusing......,ulah ooknum jahat negara coba awam bawa sabu gak lolos jamin pikir sederhana apratur negara ngaku oknuum bikin ulah labuh karena apratur ngera sangsi gak kecuali tau rakyat ketu hukum hahaahahah llihat sudah ooknum jedral bejat ee diskon hukman hahahah petus gak sepakat rakyat pusing
